english,reference_odia,greedy_prediction_odia
The winners of the competitions were given prizes.,ଖେଳରେ କୃତୀ ପ୍ରତିଯୋଗୀମାନଙ୍କୁ ପୁରସ୍କୃତ କରାଯାଇଥିଲା ।,ଏହି ପୁରସ୍କାର ପ୍ରଦାନ କରାଯାଇଥିଲା।
The incident has caused a tension in the village.,ଏହି ଘଟଣାକୁ ନେଇ ଗ୍ରାମରେ ଉତ୍ତେଜନା ଦେଖାଦେଇଛି ।,ଏହି ଘଟଣା ଘଟିଛି।
"According to the complaint, the accused had an enmity with the woman.","ଅଭିଯୋଗରେ ଯୁବତୀ ଜଣକ ଉଲ୍ଲେଖ କରିଥିଲେ ଯେ, ଅଭିଯୁକ୍ତଙ୍କର ତାଙ୍କ ସହିତ ପ୍ରେମ ସମ୍ପର୍କଥିଲା ।","ଅଭିଯୋଗ ଅନୁସାରେ, ମହିଳା ଜଣକ ଅଭିଯୋଗ ଆଣିଛନ୍ତି, ମହିଳା ଜଣକ ଅଭିଯୋଗ ଆଣିଛନ୍ତି।"
He has a one-year-old daughter.,ତାଙ୍କର ଅଢେଇ ବର୍ଷ ର ଗୋଟିଏ ଝିଅ ଅଛି ।,ତାଙ୍କର ଜଣେ ଝିଅ ଅଛନ୍ତି।
"However, the family members were unaware of the fact.",ହେଲେ ଏ ନେଇ ପରିବାର ଲୋକଙ୍କୁ ଜଣାନଥିଲା।,ହେଲେ ପରିବାର ସଦସ୍ୟମାନେ ଏହି ବିବାହ କରି ଦେଇଥିଲେ।
He was also honoured with Padma Shri by the Government of India for his contribution to Indian Cinema.,ଖାଲି ଏତିକି ନୁହେଁ ଫିଲ୍ମ ଜଗତକୁ ତାଙ୍କର ଉଲ୍ଲେଖନୀୟ ଅବଦାନ ପାଇଁ ସ୍ମିତାଙ୍କୁ ପଦଶ୍ରୀ ସମ୍ମାନରେ ଭାରତ ସରକାର ସମ୍ମାନିତ ମଧ୍ୟ କରିଛନ୍ତି।,ସେ ଭାରତୀୟ ସଂସ୍କୃତିକୁ ପ୍ରଧାନମନ୍ତ୍ରୀ ଶ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦୀ କହିଥିଲେ ।
"Prominent among those present on the occasion were the Speaker of the state Legislative Assembly, ministers, Adviser to the Chief Minister, MPs, legislators, Chief Secretary, Director General of Police, Vice-Chancellors of various universities in the state and members of the Board.","ଏହି କାର୍ୟ୍ୟକ୍ରମରେ ମନ୍ତ୍ରୀ ପରିଷଦର ସଦସ୍ୟ, ସାଂସଦ, ବିଧାୟକ, ମୁଖ୍ୟ ଶାସନ ସଚିବ, ଉନ୍ନୟନ କମିଶନର ପଞ୍ଚାୟତିରାଜ ବିଭାଗର ପ୍ରମୁଖ ସଚିବ, ବିଭିନ୍ନ ବିଭାଗର ବରିଷ୍ଠ ଅଧିକାରୀ, ଜିଲ୍ଲାପାଳ ଓ ପଞ୍ଚାୟତ ପ୍ରତିନିଧିମାନେ ଉପସ୍ଥିତ ଥିଲେ।","ଏହି ଅବସରରେ ରାଜ୍ୟ ସଭାପତି ତଥା ମୁଖ୍ୟମନ୍ତ୍ରୀ ମମତା ବାନାର୍ଜୀ, ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ମୁଖ୍ୟମନ୍ତ୍ରୀ ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ମୁଖ୍ୟମନ୍ତ୍ରୀ ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ରାଜ୍ୟ ସଭାପତି ତଥା ବରିଷ୍ଠ ଅଧିକାରୀ ଉପସ୍ଥିତ ଥିଲେ ।"
Their families have been informed.,ତେବେ ସେମାନଙ୍କ ପରିବାରକୁ ଖବର କରାଯିବ ।,ସେମାନଙ୍କ ପରିବାର ଲୋକେ ତାଙ୍କୁ ପରିବାର ଲୋକଙ୍କୁ ଖବର ମିଳିଛି।
"Friends, All those people who are present here today they are either teachers or the future leaders.","ସାଥୀଗଣ, ଏଠାରେ ଯେତେ ମଧ୍ୟ ଲୋକ ବସିଛନ୍ତି, ସେମାନେ ହୁଏତ ହେଉଛନ୍ତି ଶିକ୍ଷକ କିମ୍ବା ଭବିଷ୍ୟତର ନେତା ।","ସାଥୀଗଣ, ଭବିଷ୍ୟତ ଓ ଭବିଷ୍ୟତମାନେ ସମସ୍ତେ ଲୋକ, ଭବିଷ୍ୟତ ଲୋକଙ୍କ ଜୀବନଧାରଣ କରି ସେମାନେ ସମସ୍ତେ ଲୋକ ଓ ଭବିଷ୍ୟତ ପାଇଁ ଅଛନ୍ତି ।"
Heavy rainfall is expected in these districts.,ଏହି ଜିଲାମାନଙ୍କରେ ପ୍ରବଳ ବର୍ଷା ହେବାର ସମ୍ଭାବନା ରହିଛି।,ଏହି ଜିଲ୍ଲା ଗୁଡ଼ିକରେ ପ୍ରବଳ ବର୍ଷା ସମ୍ଭାବନା ରହିଛି।
A number of houses have collapsed.,ଅଳ୍ପ କେତକ ସ୍ଥାନରେ ଘର ଭାଙ୍ଗିଛି।,ଅନେକ ଘର ଭିତରେ ଅନେକ ଲୋକ ଆହତ ହୋଇଛନ୍ତି।
Mechanism of function,କାର୍ଯ୍ୟକ୍ରମ ପଦ୍ଧତି, ⁇ A ⁇ A ⁇ 
Some examples are that:,ଏହାର ଉଦାହରଣ ହେଲା :,କିଛି ଦିନ ହେଲା:
She was staying alone in the room.,ଏକଦମ ଏକୁଟିଆ ସେ କୋଠରୀ ଭିତରେ ।,ସେ ଜଣେ ବ୍ୟକ୍ତି ଥିଲେ।
"The violence done to me and to my flesh be upon Babylon, shall the inhabitant of Zion say. and my blood upon the inhabitants of Chaldea, shall Jerusalem say.","""ସଯେୋନ୍ ନିବାସୀଗଣ କହିବେ, ମାେ ପ୍ରତି ଓ ମାରେଆତ୍ମା ପ୍ରତି ବାବିଲ ଯେଉଁ ଦୌରାତ୍ମ୍ଯ କରିଛି ତା'ର ଫଳ ସେ ପାଉ।"""" ଆଉ ୟିରୁଶାଲମ କହିବ, """" ମାରେ ରକ୍ତପାତର ଫଳ କଲଦୀଯମାନଙ୍କ ଉପ ରେ ପଡ଼ୁ।""""""","""ତା'ପରେ ମୁଁ ମାରେ ପ୍ରଭୁମାନେ ମାେତେ କହିଲେ, """"ମୁଁ ତୁମ୍ଭକୁ ମାରେ ପ୍ରଭୁ ମାେତେ ମାେ ସହିତ ମାରେ ପ୍ରଭୁ ମାେତେ ମାେ ସହିତ ମାରେ ପ୍ରଭୁ ମାେତେ ମାେ ସହିତ ମାରେ ପ୍ରଭୁ ମାେତେ ମାେ ସହିତ ମାରେ ପ୍ରଭୁ ମାେତେ ମାେ ସହିତ ମାରେ ପ୍ରଭୁ ମାେତେ ମାେ ସହିତ ମାରେ ପ୍ରଭୁ କରିବ।"
"Cyclist hit by unidentified vehicle, dead",ଅଜଣା ଗାଡି ଧକ୍କାରେ ବାଇକ୍ ଚାଳକ ମୃତ,"ମୃତ ବ୍ୟକ୍ତିଙ୍କର ମୃତ୍ୟୁ ହୋଇଥିବା ବେଳେ ମୃତ, ହତ୍ୟା କଲା ବେଳେ ମୃତ"
So here are a few pointers.,ତେବେ ଏଠାରେ ଆମେ କିଛି ସଙ୍କେତ ସମ୍ପର୍କରେ ସୂଚନା ଦେଉଛୁ।,ତେବେ କିଛି ଦିନ ଧରି ଦେଖିବାକୁ ମିଳିଛି।
Forests and Environment Minister Bikram Keshari Arukh informed...,ଜଙ୍ଗଲ ଓ ପରିବେଶ ମନ୍ତ୍ରୀ ବିକ୍ରମ କେଶରୀ ଆରୁଖ ଏହି ସୂଚନା ଦେଇଛନ୍ତି ।,"ସୂଚନା ଅନୁସାରେ, ପରିବେଶ ମନ୍ତ୍ରୀ ରାଜନାଥ ସିଂହ ଓ ପରିବେଶ ମନ୍ତ୍ରୀ ରାଜନାଥ ସିଂହଙ୍କୁ ସୂଚନା ଦେଇଛନ୍ତି।"
"However, as investigations are on, Police gas not yet clarified how the death happened.",ତେବେ କିଭଳି ଓ କେଉଁ ପରିସ୍ଥିତିରେ ତାଙ୍କର ମୃତ୍ୟୁ ହୋଇଛି ସେନେଇ କୌଣସି ସ୍ପଷ୍ଟ ସୂଚନା ମିଳିନଥିବା ବେଳେ ପୁଲିସ ତଦନ୍ତ ଜାରି ରଖିଛି।,"ତେବେ କେଉଁ କାରଣରୁ ଏହି ଘଟଣା ଘଟିଛି, ତାହା ସ୍ପଷ୍ଟ ହୋଇନାହିଁ।"
The video is being widely shared on social media.,ସୋସିଆଲ୍ ମିଡିଆରେ ଅନେକ ଭିଡିଓ ଭାଇରାଲ୍ ଦେଖିବାକୁ ମିଳୁଛି।,ସୋସିଆଲ ମିଡିଆରେ ଭାଇରାଲ ହେବାରେ ଲାଗିଛି।
He also said he will not campaign for the BJP.,ବିଜେପି ବିରୋଧରେ ମଧ୍ୟ ପ୍ରଚାର ଅଭିଯାନରେ ସେ ସାମିଲ ହେବେ ବୋଲି ଖୋଲାଖୋଲି କହିଛନ୍ତି।,"ସେ କହିଛନ୍ତି, ବିଜେପି ପାଇଁ ମଧ୍ୟ କହିଛନ୍ତି।"
He said people have discarded the Congress and chosen the BJP as the only alternative to the BJD in Odisha.,ଓଡ଼ିଶାରେ ମଧ୍ୟ କଂଗ୍ରେସକୁ ଲୋକମାନେ ପ୍ରତ୍ୟାଖ୍ୟାନ କରି ବିଜେପିକୁ ବିଜେଡିର ଏକମାତ୍ର ବିକଳ୍ପ ସ୍ଥାନରେ ବସାଇଛନ୍ତି।,ବିଜେପି ଓ କଂଗ୍ରେସ ମଧ୍ୟରେ କଂଗ୍ରେସ ବିଧାୟକ ଦଳ ନେତା ନରସିଂହ ମିଶ୍ରିତ କରିଛି।
"The capital infusion of Rs.3,475 Crore will be allocated to three PSGICs viz. OlCL, NICL and UIICL as the first tranche in the current financial year and the.","ତିନୋଟି ସାଧାରଣ ବୀମା କମ୍ପାନୀ ଓଆଇସିଏଲ, ଏନଆଇସିଏଲ ଏବଂ ୟୁଆଇଆଇସିଏଲକୁ ଏହି ପୁଞ୍ଜି ପ୍ରବାହର ପ୍ରଥମ ଭାଗ ସ୍ବରୂପ ଚଳିତ ଆର୍ଥିକ ବର୍ଷରେ 3,475 କୋଟି ଟଙ୍କା ଆବଣ୍ଟନ କରି ଦିଆଯିବ।","ଏହି ଯୋଜନା ଅଧୀନରେ, ଆଇଏଆଇଏସ୍ଟି (ଆଇ) ଏବଂ ଆର୍ଥିକ ବର୍ଷରେ 332ଟି ରାଜ୍ୟ ଓ)ର 36ଟି ରାଜ୍ୟ ଓ)ର 36ଟି ରାଜ୍ୟ ଓ)ର ପ୍ରଥମ ଭାରତୀୟ ଦଳ ନେତା ଏହି ଯୋଜନା ମାଧ୍ୟମରେ ଏହି ଯୋଜନା ମାଧ୍ୟମରେ ଏହି ଯୋଜନା ମାଧ୍ୟମରେ ଏହି ଯୋଜନା ମାଧ୍ୟମରେ ଏହି ଯୋଜନା ମାଧ୍ୟମରେ ଏହି ଯୋଜନା ମାଧ୍ୟମରେ ଏହି ପରୀକ୍ଷା କରାଯାଇଛି ।"
This is affecting us a lot.,ଯାହା ଆମ ଉପରେ ବେଶ୍ ପ୍ରଭାବ ପକାଇଥାଏ ।,ଏହା ଆମ ଏକ ବଡ଼ ଭୂମିକା ରହିଛି।
"According to the police, he was doubtful about the character of his wife.","ପୋଲିସ୍ ସୁଚନାମୁତାବକ, ସେ ତାର ସ୍ତ୍ରୀ(ଶବା ଖେର) ର ଚରିତ୍ର ଉପରେ ସନ୍ଦେହ କରୁଥିଲା ।",ପୋଲିସ ତାଙ୍କ ପତ୍ନୀଙ୍କୁ ହତ୍ୟା କରାଯାଇଥିବା ବେଳେ ପୋଲିସ ତାଙ୍କୁ ହତ୍ୟା କରାଯାଇଥିବା ସୂଚନା ଦେଇଛନ୍ତି।
This had to happen.,ଏହା ହିଁ ହେବାର ଥିଲା ।,ଏହା ମଧ୍ୟ ଏହା ଥିଲା।
Efforts to rescue others are underway.,ତେବେ ଅନ୍ୟମାନଙ୍କ ଉଦ୍ଧାର ପାଇଁ ଲଗାତର ଉଦ୍ୟମ ଜାରି ରଖାଯାଇଛି ।,ଉଦ୍ଧାର କାର୍ଯ୍ୟ ଜାରି ରହିଛି।
He did not look back.,ପଛକୁ ଫେରି ଚାହିଁ ନାହାନ୍ତି।,ସେ ଆଉ ଫେରିନଥିଲେ ।
If seats remain vacant the third list will be released.,ସିଟ୍ ଖାଲି ପଡିଲେ ତୃତୀୟ ପର୍ଯ୍ୟାୟ ନାମଲେଖା ତାଲିକା ପ୍ରକାଶ ପାଇବ ।,ଯଦି ୧ଟି ଲୋକସଭା ଆସନ ରହିବ।
The Guidelines are available at www.mca.gov.in and www.ibbi.gov.in.,ନିର୍ଦ୍ଦେଶନାମାଗୁଡ଼ିକ www.mca.gov.in and www.ibbi.gov.in.,ଏହି ଆଜାଡିୟା ଓ ଜନ୍ ଓ ଜଜ୍ ଲିଷ୍ଟିକ୍ ।
So dont be afraid.,ତେଣୁ ଏଥିରେ କିଛି ଭୟ କରିବାର ନାହିଁ।,ତେଣୁ ଏହାକୁ ନେଇ ନାହିଁ।
The incident has shocked the whole area.,ଏହି ଘଟଣାପରେ ସାରା ଅଞ୍ଚଳରେ ଚାଞ୍ଚଲ୍ୟ ଖେଳିଯାଇଛି ।,ଏହି ଘଟଣା ସମଗ୍ର ଅଞ୍ଚଳରେ ଉତ୍ତେଜନା ସୃଷ୍ଟି କରିଛି।
"Directed by David Dhawan, the film is produced by Sajid Nadiadwala.",ସାଜିଦ୍ ନାଡ଼ିଆଜ୍ଓ୍ଵାଲାଙ୍କ ପ୍ରଯୋଜିତ ଏହି ଫିଲ୍ମର ନିର୍ଦ୍ଦେଶକ ହେଲେ ଡ଼େଭିଡ଼୍ ଧଓ୍ଵନ୍।,ଏହି ଫିଲ୍ମରେ ମୁଖ୍ୟ ଭୂମିକାରେ ଅଭିନୟ କରିଛନ୍ତି।
But the police foiled their attempt.,ମାତ୍ର ପୁଲିସ ସେମାନଙ୍କ ଯୋଜନା ବିଗାଡ଼ି ଦେଲା।,କିନ୍ତୁ ପୋଲିସ ସେମାନଙ୍କ ଉପରେ ଆକ୍ରମଣ କରିଥିଲେ ।
We want our city to be safe for women.,ସେ କହିଲେ: ସହର ମହିଳାମାନଙ୍କ ନିମନ୍ତେ ନିରାପଦ ହେଉ ବୋଲି ମୁଁ ନିଶ୍ଚିତ କରାଇବାକୁ ଚାହୁଁଛି।,ଆମେ ସମସ୍ତେ ଭଲ କାମ କରିବା ପାଇଁ ଆମେ ସମସ୍ତେ କାମ କରୁଛୁ।
It is proposed to provide Rs.3357.10 crore in the budget of Housing & Urban Development Department.,ତଦନୁଯାୟୀ ଗୃହ ନିର୍ମାଣ ଓ ନଗର ଉନ୍ନୟନ ବିଭାଗ ନିମନ୍ତେ 3357 କୋଟି 10 ଲକ୍ଷ ଟଙ୍କାର ବ୍ୟୟ ବରାଦ କରାଯାଇଛି ।,ଏହା ଆର୍ଥିକ ବର୍ଷରେ 33 କୋଟି ଟଙ୍କା ବ୍ୟୟବରାଦ କରାଯାଇଛି ।
All preparations have started.,ଏବେଠାରୁ ସମସ୍ତ ପ୍ରସ୍ତୁତି ଆରମ୍ଭ କରି ସାରିଲିଣି।,ଏଥିପାଇଁ ଆରମ୍ଭ ହୋଇଛି।
which he died.,ଯାହାକୁ ମୃତ୍ୟୁ ଛିଡ଼ାଇ ଦେଲା ।,ଯାହା ତାଙ୍କର ମୃତ୍ୟୁ ଘଟିଥିଲା।
India vs New Zealand: Team India practices ahead of ODI series opener,ଆସନ୍ତାକାଲିଠୁ ଭାରତ-ନ୍ୟୁଜିଲାଣ୍ଡ ଦିନିକିଆ ସିରିଜ୍ : ନାପିୟରରେ ନ୍ୟୁଜିଲାଣ୍ଡକୁ ଭେଟିବାକୁ ବିରାଟ ବାହିନୀ ପ୍ରସ୍ତୁତ,ଭାରତ- “ଆଲ୍କରେ ଭାରତ-ଇଏସଆଇଆରସିଟିସି)
Pour a spoonful of the batter on it.,ଏଥିରେ ଗୋଟେ ଚାମଚ ବଟର ପକାଇବେ।,ଏହା ଦ୍ୱାରା ପରିଚାଳିତ ଏକ ଜନମ୍ରେ ପ୍ରବେଶ କରିବା ପାଇଁ ଏକ ଫଟୋ।
"Also I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then said I, Here am I. send me.","""ତା'ପ ରେ ମୁଁ ସଦାପ୍ରଭୁଙ୍କର ସ୍ବର ଶୁଣିଲି। ସେ କହିଲେ, """"ମୁଁ କାହାକୁ ପଠାଇବି ? କିଏ ଆମ୍ଭମାନଙ୍କ ପାଇଁ ୟିବ?'""","""ତା'ପରେ ମୁଁ ତୁମ୍ଭକୁ କହିଲେ, """"ମୁଁ ତୁମ୍ଭକୁ ମାେ ସହିତ ମୁଁ ତୁମ୍ଭକୁ ମାେ ସହିତ ମୁଁ ତୁମ୍ଭକୁ କରିବ। ମୁଁ ତୁମ୍ଭକୁ ମାେ ସହିତ ମୁଁ ତୁମ୍ଭକୁ ମାେ ସହିତ, """"ମୁଁ ତୁମ୍ଭକୁ କରିବ। ମୁଁ ତୁମ୍ଭକୁ ମାେ ସହିତ, """"ତୁମ୍ଭେ ମାେ ସହିତ, ମୁଁ ତୁମ୍ଭକୁ କରିବ। ମୁଁ ତୁମ୍ଭକୁ କରିବ।"
"Social media platforms like Facebook, Twitter and WhatsApp are also under the scanner.","ଫେସବୁକ୍, ହ୍ବାଟ୍ସଆପ, ଟ୍ବିଟର ଭଳି ସାମାଜିକ ଗଣମାଧ୍ୟମ (ସୋସିଆଲ ମିଡିଆ) ଉପରେ ମଧ୍ୟ କଡା ନଜର ରଖାଯାଇଛି।","ସେହିପରି ସୋସିଆଲ ମିଡିଆରେ, ସାମାଜିକ ଗଣମାଧ୍ୟମରେ ଓ ସାମାଜିକ ଗଣମାଧ୍ୟମରେ ସମସ୍ୟା ରହିଛି।"
Two security force personnel were injured in the gunfight.,ଏହି ଘଟଣାରେ ସୁରକ୍ଷା ବାହିନୀର ଗୁଳିରେ ଦୁଇ ନକ୍ସଲ ପ୍ରାଣ ହରାଇଥିଲେ।,ଦୁଇ ଜଣ କର୍ମଚାରୀ ଓ କର୍ମଚାରୀ ଆହତ ହୋଇଛନ୍ତି।
youll also be at rest.,ତମେ ବି ଆରାମ କରିବ ।,ଆପଣ ମଧ୍ୟ ଭଲ ରହିବ।
This will help you to improve your performance.,ଏପରି ହେବା ଦ୍ୱାରା ଆପଣଙ୍କ କାର୍ଯ୍ୟଦକ୍ଷତା ମଧ୍ୟ ବଢ଼ିବାର ସମ୍ବାବନା ରହିଛି ।,ଏହା ଆପଣଙ୍କ ପାଇଁ ଆପଣଙ୍କୁ ଆପଣଙ୍କ ସହାୟତା କରିବେ।
"However, the bleeding didn't stop.",ହେଲେ ରକ୍ତଧାର ବନ୍ଦ ହୋଇନଥିଲା।,ହେଲେ ଏହି ସମୟରେ ଏହି ସୂଚନା ମିଳି ନଥିଲା।
Shiv Sena and BJP are in an alliance.,ନିଜନିଜ ଜିଦ୍ରେ ଅଟଳ ଅଛନ୍ତି ଶିବସେନା ଓ ବିଜେପି ।,ବିଜେପି ଓ ଶିବସେନା ବିଜେପି ଓ ଶିବସେନା।
He was in the close circles of former prime minister late Atal Behari Vajpayee.,ସେ ସ୍ୱର୍ଗତଃ ପ୍ରଧାନମନ୍ତ୍ରୀ ଅଟଳ ବିହାରୀ ବାଜପେୟୀଙ୍କର ଅତି ଘନିଷ୍ଠ ଥିଲେ ବୋଲି ସୂଚନା ମିଳିଛି ।,"ସେ କହିଛନ୍ତି ଯେ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀଙ୍କ କାର୍ଯ୍ୟାଳୟକୁ ନେଇ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ ଧୋନିଙ୍କ କାର୍ଯ୍ୟାଳୟକୁ ନେଇ ସେ ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହଙ୍କୁ ଭେଟିଥିଲେ।"
India will extend all possible help in realizing his dream of multi-disciplinary super-specialty hospital in Bhutan.,ଭୂଟାନରେ ବହୁମୁଖୀ ସୁପର ସ୍ପେଶାଲିଟି ହସପିଟାଲ ପ୍ରତିଷ୍ଠା ଲାଗି ତାଙ୍କର ସ୍ୱପ୍ନକୁ ସାକାର କରିବାରେ ଭାରତ ଯଥାସମ୍ଭବ ସହାୟତା କରିବ ।,ଭାରତରେ ଏକ ଘରୋଇ ହସ୍ପିଟାଲରେ ଭର୍ତ୍ତି କରାଯାଇଛି ।
Send the grab directly to the clipboard,ରିଙ୍ଗ ତାଲିକାର ପ୍ରତିମୂର୍ତ୍ତିକୁ ସଜାଡନ୍ତୁ, ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S
"The party has, however, not declared its candidate for the seat.",ତେଣୁ ଦଳ ଏହି ଆସନରେ ପ୍ରାର୍ଥୀ ଘୋଷଣା କରିନି।,ତେବେ ନିର୍ବାଚନ ପୂର୍ବରୁ ନିର୍ବାଚନ ପୂର୍ବରୁ ପ୍ରାର୍ଥୀ ଘୋଷଣା କରିନି।
An FIR has been lodged against them.,ଏମାନଙ୍କ ବିରୋଧରେ FIR ଦାଖଲ ହୋଇଛି ।,ସେମାନଙ୍କ ବିରୋଧରେ ମାମଲା ରୁଜୁ କରାଯାଇଛି।
The loan will be repaid to the Government from sale proceeds of the HAL land.,ଏଚଏଏଲର ଭୂମି ବିକ୍ରୀ ପରେ ମିଳିଥିବା ଅର୍ଥରେ ସରକାରଙ୍କର ଏହି ଋଣ ପରିଶୋଧ କରାଯିବ ।,ଏହି ଯୋଜନା ପାଇଁ ସରକାର ଗଠନ କରାଯିବ ।
Some trains have been partially cancelled.,ସେହିପରି କିଛି ଟ୍ରେନକୁ ଆଂଶିକ ଭାବେ ବାତିଲ କରାଯାଇଛି।,କିଛି ସ୍ଥାନରେ ଘଡ଼ଘଡ଼ି ସହ କିଛି ସୂଚନା ମିଳିଛି।
BJP or not?,ବିଜେପିରୁ ଭୁବନ ନା ବିଷ୍ଣୁ?,ବିଜେଡି କିମ୍ବା ବିଜେପି କିମ୍ବା ବିଜେପି ନୁହେଁ?
It is not known why he was targeted.,ତେବେ କାହିଁକି ତାଙ୍କ ଉପରେ ଆକ୍ରମଣ କରାଯାଇଥିଲା ସେନେଇ କିଛି ସ୍ପଷ୍ଟ ହୋଇନାହିଁ ।,ତେବେ ସେ କାହିଁକି ତାହା ସ୍ପଷ୍ଟ ହୋଇନାହିଁ।
"This is a nation that is a valued friend, home to so many Indians, but never has an Indian Prime Minister visited there.","ବାହାରିନ ଭାରତର ଅନ୍ତରଙ୍ଗ ବନ୍ଧୁ, ମାତ୍ର କୌଣସି ଭାରତୀୟ ପ୍ରଧାନମନ୍ତ୍ରୀ ସେଠାକୁ ଯାଇ ନାହାନ୍ତି ।","ଏହା ଏକ ବଡ଼ ଭୂମିକା ଗ୍ରହଣ କରେ, ବରଂ ଭାରତ ଏକ ବଡ଼ ଭୂମିକା ରହିଛି ।"
State Culture Minister A.K.,ରାଜ୍ୟ ସଂସ୍କୃତି ମନ୍ତ୍ରୀ ଅଶୋକ…,ରାଜ୍ୟ ସରକାରଙ୍କ ଜଣେ ମନ୍ତ୍ରୀ ଥିଲେ।
"And all his acquaintance, and the women that followed him from Galilee, stood afar off, beholding these things.",ଯୀଶୁଙ୍କର ଅନ୍ତରଙ୍ଗ ବନ୍ଧୁମାନେ ସଠାେରେ ଉପସ୍ଥିତ ଥିଲେ। ତା'ଛଡା ଯୀଶୁଙ୍କୁ ଗାଲିଲୀରୁ ଅନୁସରଣ କରି ଆସିଥିବା ଅନକେ ସ୍ତ୍ରୀ ଲୋକ ସଠାେରେ ଥିଲେ। ସମାନେେ କୃଶଠାରୁ ଦୂର ରେ ଠିଆ ହାଇେ ଏସବୁ ଦେଖୁଥିଲେ।,"""ତା'ପରେ ସହେି ସ୍ତ୍ରୀ ଲୋକକୁ ମଧ୍ଯ ୟଜ୍ଞ କରିବା ପାଇଁ, """"ମୁଥିବା ସମସ୍ତ ଲୋକକୁ ମଧ୍ଯ ସମାନେେ ଏକ ୟଜ୍ଞ କରିବା ପାଇଁ, """"ତୁମ୍ଭେ ସହେି ସ୍ଥାନ ରେ ଏକ ୟାରକ୍ସ୍ଟଇଗେଲେ।"
"Pensioners can submit the digital life certificate at any EPFO office or pension disbursing bank, common service centre or even through the UMANG app.","– ଅନ୍ଲାଇନ୍ ପେନ୍ସନ୍ ବିତରଣ ବ୍ୟାଙ୍କ, ଉମାଙ୍ଗ ଆପ୍ କିମ୍ବା ସାଧାରଣ ସେବା କେନ୍ଦ୍ର ମାଧ୍ୟମରେ ଜୀବନ ପ୍ରମାଣପତ୍ର ଦାଖଲ କରାଯାଇପାରିବ।",(ଆଇ) ଏବଂ ଇଏ-ଇଏସଆଇଏମ ଜରିଆରେ ଏହି କ୍ଷେତ୍ରରେ କୌଣସି ପ୍ରକାର ସହାୟତା ଯୋଗାଇ ଦିଆଯିବ କିମ୍ବା ମେସେନ୍ସ ଜରିଆରେ ଏହି ନିୟମ ଉଲ୍ଲଂଘନ କଲେଜର କୌଣସି ପ୍ରକାର ସହାୟତା କରିପାରିବେ ।
